iter	Passed	Remaining
465	1066	764
466	1068	762
467	1071	759
468	1073	757
469	1075	755
470	1077	752
471	1080	750
472	1082	748
473	1085	746
474	1087	743
475	1089	741
476	1091	739
477	1093	736
478	1095	734
479	1098	732
480	1100	729
481	1102	727
482	1105	725
483	1107	722
484	1109	720
485	1111	718
486	1114	716
487	1115	713
488	1118	711
489	1120	708
490	1122	706
491	1125	704
492	1127	702
493	1130	699
494	1132	697
495	1134	695
496	1136	693
497	1139	690
498	1141	688
499	1143	686
500	1146	684
501	1148	682
502	1151	679
503	1153	677
504	1155	675
505	1158	672
506	1160	670
507	1162	668
508	1165	666
509	1167	663
510	1169	661
511	1171	658
512	1173	656
513	1175	654
514	1178	652
515	1180	649
516	1182	647
517	1184	645
518	1187	642
519	1189	640
520	1191	638
521	1193	635
522	1196	633
523	1198	631
524	1200	628
525	1203	626
526	1205	624
527	1207	622
528	1210	619
529	1212	617
530	1214	615
531	1217	613
532	1219	610
533	1221	608
534	1224	606
535	1226	604
536	1228	601
537	1230	599
538	1233	597
539	1235	595
540	1238	592
541	1240	590
542	1242	588
543	1245	585
544	1247	583
545	1249	581
546	1251	579
547	1253	576
548	1255	574
549	1258	571
550	1260	569
551	1261	566
552	1263	564
553	1266	562
554	1268	559
555	1270	557
556	1272	555
557	1274	552
558	1277	550
559	1279	548
560	1281	546
561	1284	543
562	1286	541
563	1289	539
564	1291	537
565	1293	534
566	1295	532
567	1298	530
568	1300	528
569	1302	525
570	1305	523
571	1307	521
572	1310	519
573	1312	516
574	1315	514
575	1317	512
576	1319	509
577	1321	507
578	1324	505
579	1326	503
580	1328	500
581	1331	498
582	1333	496
583	1335	494
584	1338	491
585	1340	489
586	1343	487
587	1345	485
588	1347	482
589	1349	480
590	1352	478
591	1354	476
592	1357	473
593	1359	471
594	1361	469
595	1364	466
596	1366	464
597	1368	462
598	1371	460
599	1373	457
600	1375	455
601	1378	453
602	1380	451
603	1383	448
604	1385	446
605	1387	444
606	1389	441
607	1392	439
608	1394	437
609	1396	435
610	1399	432
611	1401	430
612	1403	428
613	1406	425
614	1408	423
615	1411	421
616	1413	419
617	1415	416
618	1418	414
619	1420	412
620	1422	410
621	1425	407
622	1427	405
623	1430	403
624	1432	401
625	1434	398
626	1436	396
627	1439	394
628	1441	391
629	1443	389
630	1445	387
631	1448	384
632	1450	382
633	1452	380
634	1454	378
635	1456	375
636	1459	373
637	1461	371
638	1463	368
639	1466	366
640	1468	364
641	1471	362
642	1473	359
643	1476	357
644	1478	355
645	1480	353
646	1483	350
647	1485	348
648	1488	346
649	1490	343
650	1492	341
651	1494	339
652	1496	336
653	1499	334
654	1501	332
655	1503	330
656	1506	327
657	1508	325
658	1510	323
659	1512	320
660	1515	318
661	1517	316
662	1519	314
663	1522	311
664	1524	309
665	1526	307
666	1529	304
667	1531	302
668	1533	300
669	1536	298
670	1538	295
671	1540	293
672	1543	291
673	1545	288
674	1547	286
675	1550	284
676	1552	282
677	1554	279
678	1557	277
679	1559	275
680	1561	272
681	1563	270
682	1566	268
683	1568	266
684	1571	263
685	1573	261
686	1575	259
687	1578	256
688	1580	254
689	1583	252
690	1585	250
691	1587	247
692	1589	245
693	1591	243
694	1594	240
695	1596	238
696	1598	236
697	1600	233
698	1602	231
699	1604	229
700	1607	226
701	1609	224
702	1611	222
703	1613	220
704	1616	217
705	1618	215
706	1621	213
707	1623	210
708	1625	208
709	1627	206
710	1630	204
711	1632	201
712	1635	199
713	1637	197
714	1639	194
715	1642	192
716	1644	190
717	1646	188
718	1648	185
719	1650	183
720	1653	181
721	1655	178
722	1657	176
723	1659	174
724	1661	171
725	1663	169
726	1666	167
727	1668	165
728	1670	162
729	1673	160
730	1675	158
731	1677	155
732	1679	153
733	1682	151
734	1684	148
735	1686	146
736	1688	144
737	1691	142
738	1693	139
739	1695	137
740	1698	135
741	1700	132
742	1702	130
743	1705	128
744	1707	126
745	1710	123
746	1712	121
747	1714	119
748	1717	116
749	1719	114
750	1721	112
751	1723	110
752	1726	107
753	1728	105
754	1730	103
755	1732	100
756	1735	98
757	1737	96
758	1739	93
759	1742	91
760	1744	89
761	1746	87
762	1748	84
763	1750	82
764	1752	80
765	1754	77
766	1756	75
767	1759	73
768	1761	71
769	1764	68
770	1766	66
771	1768	64
772	1770	61
773	1772	59
774	1775	57
775	1777	54
776	1780	52
777	1782	50
778	1784	48
779	1787	45
780	1789	43
781	1791	41
782	1794	38
783	1796	36
784	1798	34
785	1801	32
786	1803	29
787	1806	27
788	1808	25
789	1810	22
790	1813	20
791	1815	18
792	1817	16
793	1820	13
794	1822	11
795	1825	9
796	1827	6
797	1830	4
798	1832	2
799	1834	0
